Time: 0.00, UAV: 2, X: 10.00, Y: 20.00, Azimuth: 30.00

Time: 1.00, UAV: 2, X: 20.83, Y: 26.25, Azimuth: 30.00

Time: 2.00, UAV: 2, X: 31.65, Y: 32.50, Azimuth: 30.00

Time: 3.00, UAV: 2, X: 42.48, Y: 38.75, Azimuth: 30.00

Time: 4.00, UAV: 2, X: 33.52, Y: 30.03, Azimuth: 224.23

Time: 5.00, UAV: 2, X: 24.56, Y: 21.31, Azimuth: 224.23

Time: 6.00, UAV: 2, X: 33.54, Y: 23.84, Azimuth: 212.55

Time: 7.00, UAV: 2, X: 24.26, Y: 31.96, Azimuth: 245.11

Time: 8.00, UAV: 2, X: 12.07, Y: 33.80, Azimuth: 277.66

Time: 9.00, UAV: 2, X: 0.79, Y: 28.80, Azimuth: 310.22

Time: 10.00, UAV: 2, X: -6.01, Y: 18.52, Azimuth: 342.77

Time: 11.00, UAV: 2, X: -6.22, Y: 6.18, Azimuth: 15.33

Time: 12.00, UAV: 2, X: 0.25, Y: -4.32, Azimuth: 47.88

Time: 13.00, UAV: 2, X: 11.34, Y: -9.69, Azimuth: 80.44

Time: 14.00, UAV: 2, X: 23.59, Y: -8.25, Azimuth: 112.99

Time: 15.00, UAV: 2, X: 33.14, Y: -0.45, Azimuth: 145.54

Time: 16.00, UAV: 2, X: 36.99, Y: 11.27, Azimuth: 178.10

Time: 17.00, UAV: 2, X: 33.93, Y: 23.22, Azimuth: 210.65

Time: 18.00, UAV: 2, X: 24.92, Y: 31.64, Azimuth: 243.21

Time: 19.00, UAV: 2, X: 12.79, Y: 33.89, Azimuth: 275.76

Time: 20.00, UAV: 2, X: 1.36, Y: 29.26, Azimuth: 308.32

Time: 21.00, UAV: 2, X: -5.79, Y: 19.21, Azimuth: 340.87

Time: 22.00, UAV: 2, X: -36.40, Y: -17.11, Azimuth: 13.43

Time: 23.00, UAV: 2, X: -30.29, Y: -27.82, Azimuth: 45.98

Time: 24.00, UAV: 2, X: -19.37, Y: -33.56, Azimuth: 78.53

Time: 25.00, UAV: 2, X: -7.08, Y: -32.53, Azimuth: 111.09

Time: 26.00, UAV: 2, X: 2.72, Y: -25.04, Azimuth: 143.64

Time: 27.00, UAV: 2, X: 6.95, Y: -13.46, Azimuth: 176.20

Time: 28.00, UAV: 2, X: 4.29, Y: -1.42, Azimuth: 208.75

Time: 29.00, UAV: 2, X: -4.44, Y: 7.30, Azimuth: 241.31

Time: 30.00, UAV: 2, X: -16.48, Y: 9.95, Azimuth: 273.86

Time: 31.00, UAV: 2, X: -28.06, Y: 5.70, Azimuth: 306.41

Time: 32.00, UAV: 2, X: -35.53, Y: -4.10, Azimuth: 338.97

Time: 33.00, UAV: 2, X: -36.56, Y: -16.40, Azimuth: 11.52

Time: 34.00, UAV: 2, X: -30.80, Y: -27.30, Azimuth: 44.08

Time: 35.00, UAV: 2, X: -20.09, Y: -33.40, Azimuth: 76.63

Time: 36.00, UAV: 2, X: -7.77, Y: -32.78, Azimuth: 109.19

Time: 37.00, UAV: 2, X: 2.27, Y: -25.62, Azimuth: 141.74

Time: 38.00, UAV: 2, X: 6.89, Y: -14.19, Azimuth: 174.30

Time: 39.00, UAV: 2, X: 4.63, Y: -2.06, Azimuth: 206.85

Time: 40.00, UAV: 2, X: -3.80, Y: 6.94, Azimuth: 239.40

Time: 41.00, UAV: 2, X: -15.75, Y: 9.99, Azimuth: 271.96

Time: 42.00, UAV: 2, X: -27.47, Y: 6.13, Azimuth: 304.51

Time: 43.00, UAV: 2, X: -35.26, Y: -3.43, Azimuth: 337.07

Time: 44.00, UAV: 2, X: -36.69, Y: -15.68, Azimuth: 9.62

Time: 45.00, UAV: 2, X: -31.30, Y: -26.77, Azimuth: 42.18

Time: 46.00, UAV: 2, X: -20.79, Y: -33.22, Azimuth: 74.73

Time: 47.00, UAV: 2, X: -8.46, Y: -33.01, Azimuth: 107.29

Time: 48.00, UAV: 2, X: 1.81, Y: -26.19, Azimuth: 139.84

Time: 49.00, UAV: 2, X: 6.81, Y: -14.91, Azimuth: 172.39

Time: 50.00, UAV: 2, X: 4.95, Y: -2.72, Azimuth: 204.95

Time: 51.00, UAV: 2, X: -3.18, Y: 6.56, Azimuth: 237.50

Time: 52.00, UAV: 2, X: -15.02, Y: 10.00, Azimuth: 270.06

Time: 53.00, UAV: 2, X: -26.86, Y: 6.53, Azimuth: 302.61

Time: 54.00, UAV: 2, X: -34.97, Y: -2.76, Azimuth: 335.17

Time: 55.00, UAV: 2, X: -36.80, Y: -14.96, Azimuth: 7.72

Time: 56.00, UAV: 2, X: -31.78, Y: -26.22, Azimuth: 40.28

Time: 57.00, UAV: 2, X: -21.49, Y: -33.02, Azimuth: 72.83

Time: 58.00, UAV: 2, X: -9.16, Y: -33.21, Azimuth: 105.38

Time: 59.00, UAV: 2, X: 1.33, Y: -26.74, Azimuth: 137.94

Time: 60.00, UAV: 2, X: 6.70, Y: -15.63, Azimuth: 170.49

